<phenotype>,trait1,SE,df,lower.CL u,pper.CL
11157,0.01832,0.00602,22.7,0.00586,0.0308
19089,0.02947,0.00602,22.7,0.01701,0.0419
19093,0.03923,0.00602,22.7,0.02677,0.0517
19094,0.03364,0.00602,22.7,0.02119,0.0461
19104,0.04152,0.00602,22.7,0.02906,0.054
19105,0.02038,0.00602,22.7,0.00792,0.0328
19114,0.04211,0.00602,22.7,0.02966,0.0546
19115,0.01613,0.00602,22.7,0.00367,0.0286
19117,0.03708,0.00602,22.7,0.02462,0.0495
19129,0.0236,0.00702,40,0.00941,0.0378
19130,0.04436,0.00702,40,0.03017,0.0585
19131,0.03601,0.00602,22.7,0.02356,0.0485
19133,0.03781,0.00602,22.7,0.02536,0.0503
19135,0.03783,0.00602,22.7,0.02537,0.0503
19136,0.0196,0.00602,22.7,0.00715,0.0321
19137,0.02851,0.00602,22.7,0.01605,0.041
19139,0.06887,0.00602,22.7,0.05642,0.0813
19144,0.02482,0.00602,22.7,0.01236,0.0373
19151,0.03824,0.00602,22.7,0.02578,0.0507
19153,0.02652,0.00602,22.7,0.01407,0.039
19154,0.06225,0.00602,22.7,0.04979,0.0747
19155,0.01813,0.00602,22.7,0.00567,0.0306
23262,0.03593,0.00602,22.7,0.02348,0.0484
23269,0.03364,0.00602,22.7,0.02119,0.0461
23273,0.02639,0.00602,22.7,0.01394,0.0389
23285,0.02381,0.00602,22.7,0.01135,0.0363
23291,0.01452,0.00602,22.7,0.00207,0.027
23292,0.02304,0.00602,22.7,0.01058,0.0355
23294,0.01762,0.00702,40,0.00343,0.0318
23296,0.01485,0.00602,22.7,0.00239,0.0273
23298,0.03124,0.00602,22.7,0.01878,0.0437
23299,0.03821,0.00702,40,0.02402,0.0524
23300,0.03861,0.00602,22.7,0.02615,0.0511
23302,0.04121,0.00702,40,0.02702,0.0554
23303,0.03377,0.00602,22.7,0.02132,0.0462
23304,0.02049,0.00602,22.7,0.00803,0.0329
23306,0.03275,0.00602,22.7,0.02029,0.0452
23308,0.02848,0.00602,22.7,0.01602,0.0409
23309,0.03507,0.00602,22.7,0.02261,0.0475
23310,0.10074,0.00602,22.7,0.08829,0.1132
23312,0.02998,0.00702,40,0.01579,0.0442
23313,0.03895,0.00602,22.7,0.0265,0.0514
23315,0.0286,0.00602,22.7,0.01614,0.0411
23316,0.03514,0.00602,22.7,0.02268,0.0476
23317,0.034,0.00602,22.7,0.02155,0.0465
23318,0.03808,0.00702,40,0.0239,0.0523
23320,0.05703,0.00602,22.7,0.04457,0.0695
23327,0.03507,0.00602,22.7,0.02261,0.0475
23328,0.0943,0.00602,22.7,0.08184,0.1068
23329,0.03496,0.00602,22.7,0.0225,0.0474
23331,0.01496,0.00602,22.7,0.0025,0.0274
23333,0.05575,0.00602,22.7,0.04329,0.0682
23334,0.01959,0.00702,40,0.00541,0.0338
23344,0.04021,0.00702,40,0.02603,0.0544
23355,0.03007,0.00602,22.7,0.01761,0.0425
23356,0.02708,0.00602,22.7,0.01462,0.0395
23361,0.0277,0.00602,22.7,0.01524,0.0402
23363,0.03495,0.00602,22.7,0.02249,0.0474
23365,0.01989,0.00602,22.7,0.00743,0.0323
