<Phenotype>,trait1,SE,df,lower.CL u,pper.CL
11157,0.01187,0.00335,6.27,0.00375,0.02
19089,0.01098,0.00335,6.27,0.00287,0.0191
19093,0.01972,0.00335,6.27,0.0116,0.0278
19094,0.01298,0.00335,6.27,0.00486,0.0211
19104,0.0188,0.00335,6.27,0.0107,0.0269
19105,0.00913,0.00335,6.27,0.00101,0.0172
19114,0.027,0.00371,9.31,0.0187,0.0353
19115,0.00699,0.00335,6.27,-0.00113,0.0151
19117,0.01572,0.00335,6.27,0.0076,0.0238
19129,0.01055,0.00335,6.27,0.00243,0.0187
19130,0.02748,0.00335,6.27,0.0194,0.0356
19131,0.02072,0.00335,6.27,0.0126,0.0288
19133,0.01763,0.00335,6.27,0.00951,0.0257
19135,0.02201,0.00371,9.31,0.0137,0.0303
19136,0.00889,0.00335,6.27,0.000773,0.017
19137,0.01595,0.00335,6.27,0.00783,0.0241
19139,0.02773,0.00335,6.27,0.0196,0.0358
19144,0.0124,0.00335,6.27,0.00428,0.0205
19151,0.02039,0.00335,6.27,0.0123,0.0285
19153,0.00941,0.00335,6.27,0.00129,0.0175
19154,0.03447,0.00335,6.27,0.0264,0.0426
19155,0.00584,0.00335,6.27,-0.00227,0.014
23262,0.01693,0.00335,6.27,0.00881,0.025
23269,0.01821,0.00335,6.27,0.0101,0.0263
23273,0.01218,0.00335,6.27,0.00406,0.0203
23285,0.01237,0.00335,6.27,0.00425,0.0205
23291,0.00591,0.00335,6.27,-0.00221,0.014
23292,0.00939,0.00335,6.27,0.00127,0.0175
23294,0.0083,0.00335,6.27,0.000184,0.0164
23296,0.00747,0.00335,6.27,-0.000646,0.0156
23298,0.01656,0.00335,6.27,0.00844,0.0247
23299,0.01875,0.00335,6.27,0.0106,0.0269
23300,0.02208,0.00335,6.27,0.014,0.0302
23302,0.01922,0.00335,6.27,0.0111,0.0273
23303,0.01685,0.00335,6.27,0.00873,0.025
23304,0.01004,0.00371,9.31,0.0017,0.0184
23306,0.01914,0.00335,6.27,0.011,0.0273
23308,0.01093,0.00335,6.27,0.00281,0.019
23309,0.01733,0.00335,6.27,0.00921,0.0254
23310,0.04937,0.00335,6.27,0.0412,0.0575
23312,0.01544,0.00335,6.27,0.00732,0.0236
23313,0.02943,0.00371,9.31,0.0211,0.0378
23315,0.01553,0.00335,6.27,0.00742,0.0237
23316,0.01554,0.00335,6.27,0.00742,0.0237
23317,0.01412,0.00335,6.27,0.006,0.0222
23318,0.01889,0.00335,6.27,0.0108,0.027
23320,0.02957,0.00371,9.31,0.0212,0.0379
23327,0.01901,0.00335,6.27,0.0109,0.0271
23328,0.03474,0.00335,6.27,0.0266,0.0429
23329,0.01836,0.00335,6.27,0.0102,0.0265
23331,0.00739,0.00335,6.27,-0.000728,0.0155
23333,0.01911,0.00371,9.31,0.0108,0.0275
23334,0.00807,0.00335,6.27,-0.0000505,0.0162
23344,0.02138,0.00335,6.27,0.0133,0.0295
23355,0.01344,0.00335,6.27,0.00532,0.0216
23356,0.01628,0.00335,6.27,0.00816,0.0244
23361,0.01401,0.00335,6.27,0.00589,0.0221
23363,0.01549,0.00335,6.27,0.00737,0.0236
23365,0.01018,0.00335,6.27,0.00206,0.0183
23367,0.01642,0.00335,6.27,0.0083,0.0245
23369,0.01503,0.00335,6.27,0.00691,0.0232
23370,0.02257,0.00335,6.27,0.0144,0.0307
23373,0.01337,0.00335,6.27,0.00525,0.0215
23374,0.00712,0.00335,6.27,-0.001,0.0152
23376,0.00781,0.00335,6.27,-0.000307,0.0159
23377,0.01799,0.00335,6.27,0.00987,0.0261
23385,0.02352,0.00335,6.27,0.0154,0.0316
23393,0.01577,0.00335,6.27,0.00765,0.0239
23400,0.03175,0.00371,9.31,0.0234,0.0401
23403,0.008,0.00335,6.27,-0.000116,0.0161
23404,0.02367,0.00335,6.27,0.0155,0.0318
23405,0.01341,0.00371,9.31,0.00507,0.0217
23407,0.0199,0.00371,9.31,0.0116,0.0282
23408,0.0142,0.00335,6.27,0.00608,0.0223
23409,0.02207,0.00335,6.27,0.014,0.0302
23410,0.01622,0.00335,6.27,0.0081,0.0243
23411,0.02517,0.00335,6.27,0.0171,0.0333
23413,0.02791,0.00371,9.31,0.0196,0.0362
23414,0.01982,0.00335,6.27,0.0117,0.0279
23415,0.02036,0.00335,6.27,0.0122,0.0285
23416,0.00859,0.00335,6.27,0.000469,0.0167
23418,0.01666,0.00335,6.27,0.00854,0.0248
23419,0.01424,0.00335,6.27,0.00613,0.0224
23420,0.0125,0.00335,6.27,0.00438,0.0206
23421,0.02815,0.00371,9.31,0.0198,0.0365
23448,0.03189,0.00335,6.27,0.0238,0.04
23450,0.01398,0.00335,6.27,0.00586,0.0221
23451,0.01445,0.00335,6.27,0.00633,0.0226
23452,0.0135,0.00335,6.27,0.00538,0.0216
23454,0.01831,0.00335,6.27,0.0102,0.0264
23456,0.01553,0.00335,6.27,0.00741,0.0236
23458,0.02006,0.00335,6.27,0.0119,0.0282
23459,0.01184,0.00335,6.27,0.00372,0.02
23466,0.02962,0.00335,6.27,0.0215,0.0377
23471,0.01039,0.00335,6.27,0.00227,0.0185
23474,0.02944,0.00335,6.27,0.0213,0.0376
23478,0.01547,0.00335,6.27,0.00735,0.0236
23480,0.00928,0.00335,6.27,0.00116,0.0174
23481,0.00933,0.00335,6.27,0.00121,0.0175
23483,0.01804,0.00335,6.27,0.00992,0.0262
23491,0.01229,0.00371,9.31,0.00395,0.0206
23496,0.01999,0.00335,6.27,0.0119,0.0281
23504,0.00991,0.00335,6.27,0.00179,0.018
23505,0.00984,0.00335,6.27,0.00172,0.018
23508,0.0207,0.00335,6.27,0.0126,0.0288
23509,0.02969,0.00335,6.27,0.0216,0.0378
23511,0.00997,0.00335,6.27,0.00185,0.0181
23512,0.01554,0.00335,6.27,0.00742,0.0237
23513,0.01155,0.00335,6.27,0.00344,0.0197
23515,0.01858,0.00335,6.27,0.0105,0.0267
23516,0.01098,0.00335,6.27,0.00286,0.0191
23520,0.02189,0.00335,6.27,0.0138,0.03
23521,0.02379,0.00335,6.27,0.0157,0.0319
23523,0.01733,0.00335,6.27,0.00921,0.0254
23525,0.01473,0.00335,6.27,0.00662,0.0229
23526,0.01669,0.00335,6.27,0.00857,0.0248
23527,0.01919,0.00335,6.27,0.0111,0.0273
23533,0.01494,0.00335,6.27,0.00682,0.0231
23540,0.01776,0.00335,6.27,0.00964,0.0259
24147,0.02405,0.00335,6.27,0.0159,0.0322
24148,0.0129,0.00335,6.27,0.00478,0.021
24160,0.02401,0.00371,9.31,0.0157,0.0324
24164,0.01373,0.00335,6.27,0.00561,0.0218
24166,0.03481,0.00371,9.31,0.0265,0.0432
24179,0.01492,0.00335,6.27,0.0068,0.023
24184,0.01195,0.00335,6.27,0.00383,0.0201
24185,0.00716,0.00335,6.27,-0.000955,0.0153
24186,0.01128,0.00335,6.27,0.00316,0.0194
24197,0.01963,0.00335,6.27,0.0115,0.0277
24221,0.01836,0.00335,6.27,0.0102,0.0265
24233,0.01289,0.00335,6.27,0.00477,0.021
24253,0.01489,0.00335,6.27,0.00677,0.023
24261,0.02208,0.00335,6.27,0.014,0.0302
24262,0.01997,0.00335,6.27,0.0118,0.0281
24274,0.03069,0.00371,9.31,0.0224,0.039
24275,0.01246,0.00335,6.27,0.00434,0.0206
24297,0.02594,0.00335,6.27,0.0178,0.0341
